loss,accuracy,val_loss,val_accuracy
2.203888177871704,0.7501488327980042,0.6735772490501404,0.8435714244842529
0.5388936996459961,0.8598511815071106,0.5185610055923462,0.8680952191352844
0.3931703567504883,0.8910714387893677,0.43912625312805176,0.8909524083137512
0.3250088393688202,0.9083631038665771,0.4206402897834778,0.8982142806053162
0.2778014540672302,0.9216964244842529,0.3866244852542877,0.9054762125015259
0.24474577605724335,0.9290178418159485,0.3676914572715759,0.9127380847930908
0.2191619724035263,0.9348214268684387,0.3581889569759369,0.9150000214576721
0.2006087601184845,0.9410416483879089,0.35345232486724854,0.9227380752563477
0.18317101895809174,0.9449999928474426,0.34836387634277344,0.9213095307350159
0.1728593409061432,0.9492559432983398,0.3338063657283783,0.9267857074737549
