loss,accuracy,val_loss,val_accuracy
0.35387352108955383,0.8280054330825806,0.3118302524089813,0.8571772575378418
0.31227976083755493,0.8550841808319092,0.3072582185268402,0.8569363951683044
0.3080291450023651,0.8587825298309326,0.30907484889030457,0.8562138676643372
0.30177825689315796,0.860908031463623,0.3134828209877014,0.8559730052947998
0.29652878642082214,0.862268328666687,0.30988550186157227,0.8554913401603699
0.29049962759017944,0.8663492798805237,0.3122585415840149,0.8566955924034119
0.2880420684814453,0.865414023399353,0.3166309893131256,0.8492292761802673
0.2826116681098938,0.8682621717453003,0.31596821546554565,0.8566955924034119
0.2752554416656494,0.8699625730514526,0.33027562499046326,0.8480250239372253
0.2710559070110321,0.8739160299301147,0.34170252084732056,0.8506743907928467
